Region,ZoneSubzone,SiteSeries,SS_NoSpace,NonProd,Standard,PreferredAcceptable,Suitability,Spp,Species,FN1,FN2,FN3,FN4,FN5,FN6,Flag
BWBS2012,BWBSmk,101,BWBSmk/101,,1043881,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmk,101,BWBSmk/101,,1043881,P,1,Sx,Sw,32,,,,,,0
BWBS2012,BWBSmk,101,BWBSmk/101,,1043881,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmk,102,BWBSmk/102,,1043885,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmk,102,BWBSmk/102,,1043885,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmk,102,BWBSmk/102,,1043885,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmk,102,BWBSmk/102,,1043885,A,3,Sx,Sw,,,,,,,0
BWBS2012,BWBSmk,103,BWBSmk/103,,1043886,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmk,103,BWBSmk/103,,1043886,X,0,Ep,Ep,901,,,,,,0
BWBS2012,BWBSmk,103,BWBSmk/103,,1043886,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmk,103,BWBSmk/103,,1043886,P,1,Sx,Sw,32,,,,,,0
BWBS2012,BWBSmk,104,BWBSmk/104,,1043887,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmk,104,BWBSmk/104,,1043887,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmk,104,BWBSmk/104,,1043887,P,1,Sb,Sb,,,,,,,0
BWBS2012,BWBSmk,104,BWBSmk/104,,1043887,P,1,Sx,Sw,,,,,,,0
BWBS2012,BWBSmk,104,BWBSmk/104,,1043887,A,2,Lt,Lt,,,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,X,0,Acb,Ac,901,900,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,X,0,Ep,Ep,901,,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,P,1,Sx,Sw,1,32,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,P,2,Pl,Pl,1,,,,,,0
BWBS2012,BWBSmk,110,BWBSmk/110,,1043888,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,X,0,Acb,Ac,901,900,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,X,0,Ep,Ep,901,,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,P,1,Sx,Sw,1,32,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,P,2,Pl,Pl,1,,,,,,0
BWBS2012,BWBSmk,111,BWBSmk/111,,1043889,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,X,0,Acb,Ac,901,900,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,X,0,Ep,Ep,901,,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,P,1,Sx,Sw,32,,,,,,0
BWBS2012,BWBSmw,101,BWBSmw/101,,1043891,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmw,102,BWBSmw/102,,1043895,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmw,102,BWBSmw/102,,1043895,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmw,102,BWBSmw/102,,1043895,A,3,Sx,Sw,,,,,,,0
BWBS2012,BWBSmw,103,BWBSmw/103,,1043896,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmw,103,BWBSmw/103,,1043896,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmw,103,BWBSmw/103,,1043896,P,2,Sx,Sw,28,,,,,,0
BWBS2012,BWBSmw,104,BWBSmw/104,,1043897,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmw,104,BWBSmw/104,,1043897,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSmw,104,BWBSmw/104,,1043897,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmw,104,BWBSmw/104,,1043897,A,3,Sx,Sw,28,32,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,X,0,Acb,Ac,901,,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,X,0,At,At,901,,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,X,0,Ep,Ep,901,,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,P,1,Sx,Sw,32,,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,P,2,Pl,Pl,,,,,,,0
BWBS2012,BWBSmw,110,BWBSmw/110,,1043898,A,3,Sb,Sb,,,,,,,0
BWBS2012,BWBSmw,111,BWBSmw/111,,1043899,X,0,Acb,Ac,901,900,,,,,0
BWBS2012,BWBSmw,111,BWBSmw/111,,1043899,P,1,Sx,Sw,1,32,,,,,0
BWBS2012,BWBSmw,111,BWBSmw/111,,1043899,P,2,Pl,Pl,1,,,,,,0
BWBS2012,BWBSmw,112,BWBSmw/112,,1043900,P,0,Acb,Ac,900,901,,,,,0
BWBS2012,BWBSmw,112,BWBSmw/112,,1043900,A,2,Sx,Sw,1,32,,,,,0
BWBS2012,BWBSwk1,101,BWBSwk1/101,,1043901,X,0,At,At,901,,,,,,0
BWBS2012,BWBSwk1,101,BWBSwk1/101,,1043901,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSwk1,101,BWBSwk1/101,,1043901,P,1,Sx,Sw,,,,,,,0
BWBS2012,BWBSwk1,102,BWBSwk1/102,,1043902,P,1,Pl,Pl,,,,,,,0
BWBS2012,BWBSwk1,102,BWBSwk1/102,,1043902,A,3,Sx,Sw,,,,,,,0
BWBS2012,BWBSwk1,103,BWBSwk1/103,,1043903,X,0,At,At,901,,,,,,0
